88,"Ben Hilfenhaus
Delhi Daredevils",17,17,62,479,22,3/27,21.77,7.72,16.9,0,0
89,"Roelof van der Merwe
Delhi Daredevils",21,21,73.5,498,21,3/20,23.71,6.74,21.09,0,0
90,"Stuart Binny
Royal Challengers Bangalore",80,57,90,681,21,2/14,32.42,7.56,25.71,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
91,"Siddarth Kaul
Sunrisers Hyderabad",19,19,65.3,552,21,4/29,26.28,8.42,18.71,1,0
92,"Yo Mahesh
Chennai Super Kings",18,17,56.3,499,21,4/36,23.76,8.83,16.14,1,0
93,"Mohammed Shami
Delhi Daredevils",38,37,115.1,1038,21,2/20,49.42,9.01,32.9,0,0
94,"Andrew Symonds
Mumbai Indians",39,30,87.5,674,20,3/21,33.7,7.67,26.35,0,0
95,"Mitchell Marsh
Rising Pune Supergiant",20,18,52.3,414,20,4/25,20.7,7.88,15.75,1,0
96,"Tim Southee
Mumbai Indians",28,28,106,875,20,3/24,43.75,8.25,31.8,0,0
97,"Dimitri Mascarenhas
Kings XI Punjab",13,13,51.2,356,19,5/25,18.73,6.93,16.21,0,1
98,"Dwayne Smith
Gujarat Lions",75,32,61,567,19,4/8,29.84,9.29,19.26,1,0
99,"Chaminda Vaas
Deccan Chargers",13,13,47,355,18,3/21,19.72,7.55,15.66,0,0
100,"Ishwar Pandey
Rising Pune Supergiant",25,24,77,591,18,2/23,32.83,7.67,25.66,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
101,"Rishi Dhawan
Kolkata Knight Riders",26,25,81.2,640,18,2/14,35.55,7.86,27.11,0,0
102,"Chris Gayle
Royal Challengers Bangalore",100,37,91.3,724,18,3/21,40.22,7.91,30.5,0,0
103,"Kane Richardson
Royal Challengers Bangalore",14,14,52.5,443,18,3/13,24.61,8.38,17.61,0,0
104,"Mustafizur Rahman
Sunrisers Hyderabad",17,17,63.4,455,17,3/16,26.76,7.14,22.47,0,0
105,"Dilhara Fernando
Mumbai Indians",10,10,39,298,17,4/18,17.52,7.64,13.76,1,0
106,"Brad Hodge
Rajasthan Royals",66,20,39,303,17,4/13,17.82,7.76,13.76,1,0
107,"Bipul Sharma
Sunrisers Hyderabad",32,27,70.4,570,17,2/13,33.52,8.06,24.94,0,0
108,"Kuldeep Yadav
Kolkata Knight Riders",14,13,50,415,17,3/35,24.41,8.3,17.64,0,0
109,"Chris Woakes
Kolkata Knight Riders",13,13,44,386,17,3/6,22.7,8.77,15.52,0,0
110,"Ashish Reddy
Sunrisers Hyderabad",31,19,40.4,364,17,3/25,21.41,8.95,14.35,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
111,"Anureet Singh
Kings XI Punjab",20,19,64.4,581,17,3/23,34.17,8.98,22.82,0,0
112,"Krunal Pandya
Mumbai Indians",21,20,58.1,417,16,3/14,26.06,7.16,21.81,0,0
113,"David Wiese
Royal Challengers Bangalore",15,14,46.2,402,16,4/33,25.12,8.67,17.37,1,0
114,"Adam Zampa
Rising Pune Supergiant",8,8,28,215,15,6/19,14.33,7.67,11.2,0,1
115,"Rohit Sharma
Mumbai Indians",155,30,55.2,440,15,4/6,29.33,7.95,22.13,1,0
116,"Laxmi Ratan Shukla
Sunrisers Hyderabad",48,27,52.2,447,15,3/6,29.8,8.54,20.93,0,0
117,"YA Abdulla
Kings XI Punjab",11,11,34.5,307,15,4/31,20.46,8.81,13.93,2,0
118,"Rashid Khan
Sunrisers Hyderabad",12,12,48,313,14,3/19,22.35,6.52,20.57,0,0
119,"Ravi Rampaul
Royal Challengers Bangalore",12,12,43.4,298,14,3/31,21.28,6.82,18.71,0,0
120,"Alfonso Thomas
Pune Warriors India",15,15,52.3,406,14,3/22,29,7.73,22.5,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
121,"Pat Cummins
Delhi Daredevils",15,14,52.1,447,14,2/20,31.92,8.56,22.35,0,0
122,"Barinder Sran
Sunrisers Hyderabad",16,16,54.3,477,14,3/28,34.07,8.75,23.35,0,0
