Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
186,"Ben Cutting
Sunrisers Hyderabad",9,8,3,124,39*,24.8,66,187.87,0,0,9,10
187,"Brett Lee
Kolkata Knight Riders",38,19,9,124,25,12.4,97,127.83,0,0,8,8
188,"Andrew McDonald
Royal Challengers Bangalore",11,9,4,123,33*,24.6,100,123,0,0,9,4
189,"NK Patel
Rajasthan Royals",9,6,2,121,57,30.25,119,101.68,0,1,14,1
190,"Daniel Vettori
Royal Challengers Bangalore",34,17,9,121,29,15.12,113,107.07,0,0,11,2
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
191,"Aiden Blizzard
Mumbai Indians",7,7,0,120,51,17.14,90,133.33,0,1,21,2
192,"Misbah-ul-Haq
Royal Challengers Bangalore",8,8,1,117,47*,16.71,81,144.44,0,0,10,6
193,"Ryan Harris
Kings XI Punjab",37,21,9,117,17,9.75,112,104.46,0,0,6,3
194,"Kevon Cooper
Rajasthan Royals",25,14,5,116,32,12.88,68,170.58,0,0,9,8
195,"Zaheer Khan
Delhi Daredevils",99,31,17,116,23*,8.28,140,82.85,0,0,11,2
196,"Murali Kartik
Kings XI Punjab",56,16,9,113,21,16.14,108,104.62,0,0,7,1
197,"Daniel Harris
Deccan Chargers",4,4,0,111,47,27.75,101,109.9,0,0,11,5
198,"Mohit Sharma
Kings XI Punjab",74,21,8,106,21*,8.15,90,117.77,0,0,7,4
199,"Luke Wright
Pune Warriors India",7,6,1,106,44,21.2,60,176.66,0,0,16,3
200,"Jacob Oram
Mumbai Indians",18,12,4,106,41*,13.25,108,98.14,0,0,6,5
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
201,"Yogesh Takawale
Royal Challengers Bangalore",5,5,0,104,45,20.8,91,114.28,0,0,17,1
202,"Rob Quiney
Rajasthan Royals",7,7,0,103,51,14.71,102,100.98,0,1,12,3
203,"Michael Clarke
Pune Warriors India",6,6,0,100,41,16.66,95,105.26,0,0,12,0
204,"Siddharth Chitnis
Kings XI Punjab",11,8,1,99,38,14.14,89,111.23,0,0,10,2
205,"Manpreet Gony
Gujarat Lions",44,17,7,99,42,9.9,71,139.43,0,0,6,8
206,"Callum Ferguson
Pune Warriors India",9,8,2,98,23,16.33,117,83.76,0,0,9,0
207,"Colin de Grandhomme
Kolkata Knight Riders",10,7,1,97,36,16.16,75,129.33,0,0,6,5
208,"Mitchell Starc
Royal Challengers Bangalore",27,12,5,96,29,13.71,98,97.95,0,0,10,0
209,"Carlos Brathwaite
Delhi Daredevils",10,8,0,95,34,11.87,53,179.24,0,0,8,8
210,"Davy Jacobs
Mumbai Indians",7,7,0,92,32,13.14,98,93.87,0,0,10,4
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
211,"Pinal Shah
Rajasthan Royals",16,10,2,92,29,11.5,91,101.09,0,0,9,2
212,"Ricky Ponting
Mumbai Indians",10,9,0,91,28,10.11,128,71.09,0,0,5,2
213,"Sachin Rana
Royal Challengers Bangalore",11,8,4,91,19*,22.75,81,112.34,0,0,9,1
214,"Umesh Yadav
Kolkata Knight Riders",91,23,16,88,24*,12.57,83,106.02,0,0,8,3
215,"Iqbal Abdulla
Royal Challengers Bangalore",49,13,11,88,33*,44,84,104.76,0,0,9,1
216,"Ankit Sharma
Rising Pune Supergiant",21,10,3,87,30,12.42,67,129.85,0,0,7,4
217,"Anustup Majumdar
Pune Warriors India",4,4,0,87,31,21.75,76,114.47,0,0,7,2
218,"Dhawal Kulkarni
Gujarat Lions",72,19,11,86,28*,10.75,95,90.52,0,0,5,2
219,"Richard Levi
Mumbai Indians",6,6,0,83,50,13.83,73,113.69,0,1,10,4
220,"LA Carseldine
Rajasthan Royals",5,5,1,81,39,20.25,68,119.11,0,0,11,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
221,"Lasith Malinga
Mumbai Indians",107,24,8,81,17,5.06,97,83.5,0,0,6,4
222,"Chaminda Vaas
Deccan Chargers",13,11,3,81,20,10.12,73,110.95,0,0,2,3
223,"Shahid Afridi
Deccan Chargers",10,9,1,81,33,10.12,46,176.08,0,0,7,6
224,"Dimitri Mascarenhas
Kings XI Punjab",13,11,2,79,27,8.77,78,101.28,0,0,5,1
225,"Balachandra Akhil
Kochi Tuskers Kerala",15,11,5,76,27*,12.66,55,138.18,0,0,5,5
226,"Travis Birt
Delhi Daredevils",5,5,0,75,27,15,58,129.31,0,0,9,2
227,"Michael Klinger
Kochi Tuskers Kerala",4,4,0,73,29,18.25,77,94.8,0,0,9,0
228,"Ramnaresh Sarwan
Kings XI Punjab",4,4,0,73,31,18.25,75,97.33,0,0,6,1
229,"Pat Cummins
Delhi Daredevils",15,9,4,70,24,14,52,134.61,0,0,5,3
230,"Azhar Bilakhia
Deccan Chargers",7,7,2,69,22,13.8,85,81.17,0,0,5,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
231,"Ramesh Powar
Kings XI Punjab",27,10,7,67,28*,22.33,64,104.68,0,0,6,1
232,"Rahul Sharma
Chennai Super Kings",44,20,6,66,14*,4.71,75,88,0,0,5,3
233,"Wayne Parnell
Pune Warriors India",26,13,4,63,16,7,75,84,0,0,4,1
234,"Anirudh Singh
Deccan Chargers",5,4,0,63,40,15.75,66,95.45,0,0,6,1
235,"Andrew Flintoff
Chennai Super Kings",3,3,1,62,24,31,53,116.98,0,0,5,2
236,"Jason Roy
Gujarat Lions",3,3,1,59,31,29.5,40,147.5,0,0,9,1
237,"Sreenath Arvind
Royal Challengers Bangalore",38,12,8,59,14*,14.75,57,103.5,0,0,7,0
238,"WA Mota
Kings XI Punjab",12,8,2,56,25,9.33,75,74.66,0,0,2,0
239,"Mahesh Rawat
Pune Warriors India",18,12,7,55,23*,11,69,79.71,0,0,4,1
240,"Kagiso Rabada
Delhi Daredevils",6,3,0,55,44,18.33,64,85.93,0,0,5,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
241,"Tim Southee
Mumbai Indians",28,9,3,54,25,9,35,154.28,0,0,3,3
242,"Rilee Rossouw
Royal Challengers Bangalore",5,5,0,53,24,10.6,51,103.92,0,0,3,3
243,"Aakash Chopra
Rajasthan Royals",7,6,0,53,24,8.83,71,74.64,0,0,7,0
244,"Andrew Tye
Gujarat Lions",6,3,1,53,25,26.5,30,176.66,0,0,4,3
245,"Shoaib Malik
Delhi Daredevils",7,5,1,52,24,13,47,110.63,0,0,5,0
246,"RP Singh
Rising Pune Supergiant",82,30,15,52,10,3.46,76,68.42,0,0,2,1
247,"Arun Karthik
Royal Challengers Bangalore",17,8,3,51,19*,10.2,51,100,0,0,4,1
248,"Ravi Rampaul
Royal Challengers Bangalore",12,7,2,51,23*,10.2,50,102,0,0,3,2
